Filename	BibTex
depression_anxiety_stress	@misc{dass2021,   title = {Depression Anxiety Stress Scales [dataset and codebook]},   year = {2021},   url = {http://openpsychometrics.org/_rawdata/DASS_data_21.02.19.zip},   note = {Retrieved from http://openpsychometrics.org/_rawdata/} }
digital_games_kentucky	@misc{lomas2011classroom,   author = {Lomas, Derek},   title = {Classroom: Exp1 - {UCLA}-{Kentucky}},   year = {2011},   note = {[dataset]},   publisher = {DataShop @ CMU},   url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=445} }
Ellipse_Corssley_2024	@article{crossley2023measuring,   title={Measuring second language proficiency using the {English} {Language} {Learner} {Insight}, {Proficiency} and {Skills} {Evaluation} ({ELLIPSE}) {Corpus}},   author={Crossley, Scott A. and Tian, Yingfei and Baffour, Perpetual and Franklin, Ashleigh and Kim, Yeonjoo and Morris, William and Benner, Benjamin and Picou, Amanda and Boser, Ulrich},   journal={International Journal of Learner Corpus Research},   volume={9},   number={2},   pages={248--269},   year={2023},   url={https://github.com/scrosseye/ELLIPSE-Corpus?tab=readme-ov-file#readme} }
elpi_ninos_2017	@misc{elpi2017,     title = {ELPI Tercera Ronda},     author = {{Ministerio de Desarrollo Social}},     year = {2017},     url = {http://observatorio.ministeriodesarrollosocial.gob.cl/elpi-tercera-ronda},     institution = {Ministerio de Desarrollo Social},     note = {Accessed through Observatorio Social},     language = {spanish} }
emotion_pcmrs	@misc{ZPID2013,   author = {ZPID},   title = {PsychData of the {Leibniz} {Institute} for {Psychology} {Information} {ZPID}},   year = {2013},   address = {Trier},   publisher = {Center for Research Data in Psychology},   url = {https://cran.r-project.org/web/packages/PCMRS/index.html} }
empathizing_systemizing	@misc{EQSQ,   title = {Empathizing-Systemizing Test [dataset and codebook]},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/EQSQ.zip}},   year = {n.d.},   url = {http://openpsychometrics.org/_rawdata/} }
environment_ltm	@book{brook1991british,   title={British Social Attitudes, 1990, Survey},   author={Brook, L. and Taylor, B. and Prior, G.},   year={1991},   publisher={SCPR},   address={London},   url={https://cran.r-project.org/web/packages/ltm/index.html} }
estcrm_selfeff	@article{kan2009effect,   title={Effect of scale response format on psychometric properties in teaching self-efficacy},   author={Kan, A.},   journal={Euroasian Journal of Educational Research},   volume={34},   pages={215--228},   year={2009},   url={https://cran.r-project.org/web/packages/EstCRM/index.html} }
eurpar2_mudfold	@phdthesis{schuur1984structure,   title={Structure in political beliefs: A new model for stochastic unfolding with application to European party activists},   author={Schuur, H. V.},   year={1984},   school={Rijksuniversiteit te Groningen},   url={https://cran.r-project.org/web/packages/mudfold/index.html} }
experimental_iq	@misc{IQ1dataset,   title = {Experimental {IQ} Test [dataset and codebook]},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/IQ1.zip}},   url = {http://openpsychometrics.org/_rawdata/},   note = {Accessed through Open Psychometrics} }
